Competition,Matchday,Venue,Team,Opponent,Opponent_Position,Result,Position,Minute,At_Score,Type_of_Goal
48',3:1,Direct free kick,,,,,,,,
UEFA Champions League,Gruppenphase,H,FC Barcelona,Borussia Dortmund,Bor. Dortmund,3:1,RW ,33',2:0,Left-footed shot
LaLiga,15,A,FC Barcelona,(1.),Atlético de Madrid,Atlético Madrid  (4.),0:1,RW ,86',0:1
LaLiga,16,H,FC Barcelona,(1.),RCD Mallorca,RCD Mallorca  (17.),5:2,RW ,17',2:0
41',3:1,Left-footed shot,,,,,,,,
83',5:2,Left-footed shot,,,,,,,,
LaLiga,18,H,FC Barcelona,(1.),Deportivo Alavés,Alavés  (14.),4:1,RW ,69',3:1
Supercopa,Halbfinale,H,FC Barcelona,Atlético de Madrid,Atlético Madrid,2:3,RW ,51',1:1,Right-footed shot
LaLiga,20,H,FC Barcelona,(1.),Granada CF,Granada CF  (10.),1:0,CF ,76',1:0
Copa del Rey,Achtelfinale,H,FC Barcelona,CD Leganés,CD Leganés,5:0,RW ,59',3:0,Left-footed shot
89',5:0,Left-footed shot,,,,,,,,
LaLiga,25,H,FC Barcelona,(2.),SD Eibar,SD Eibar  (16.),5:0,SS ,14',1:0
37',2:0,Left-footed shot,,,,,,,,
40',3:0,Left-footed shot,,,,,,,,
87',4:0,Left-footed shot,,,,,,,,
LaLiga,27,H,FC Barcelona,(2.),Real Sociedad,Real Sociedad  (4.),1:0,CF ,81',1:0
LaLiga,28,A,FC Barcelona,(1.),RCD Mallorca,RCD Mallorca  (18.),0:4,RW ,90'+3,0:4
LaLiga,29,H,FC Barcelona,(1.),CD Leganés,CD Leganés  (19.),2:0,RW ,69',2:0
LaLiga,33,H,FC Barcelona,(2.),Atlético de Madrid,Atlético Madrid  (3.),2:2,SS ,50',2:1
LaLiga,37,H,FC Barcelona,(2.),CA Osasuna,CA Osasuna  (11.),1:2,RW ,62',1:1
LaLiga,38,A,FC Barcelona,(2.),Deportivo Alavés,Alavés  (16.),0:5,RW ,34',0:2
75',0:5,Left-footed shot,,,,,,,,
UEFA Champions League,Achtelfinale,H,FC Barcelona,SSC Napoli,Napoli,3:1,SS ,23',2:0,Left-footed shot
Season 20/21,,,,,,,,,,
LaLiga,3,H,FC Barcelona,(1.),Villarreal CF,Villarreal  (6.),4:0,CF ,35',3:0
UEFA Champions League,Gruppenphase,H,FC Barcelona,Ferencvárosi TC,Ferencváros,5:1,CF ,27',1:0,Penalty
UEFA Champions League,Gruppenphase,A,FC Barcelona,Juventus FC,Juventus,0:2,CF ,90'+1,0:2,Penalty
UEFA Champions League,Gruppenphase,H,FC Barcelona,Dynamo Kyiv,Dynamo Kyiv,2:1,RW ,5',1:0,Penalty
LaLiga,9,H,FC Barcelona,(6.),Real Betis Balompié,Real Betis  (8.),5:2,CF,61',3:1
82',4:2,Left-footed shot,,,,,,,,
LaLiga,11,H,FC Barcelona,(5.),CA Osasuna,CA Osasuna  (14.),4:0,RW ,73',4:0
LaLiga,13,H,FC Barcelona,(5.),Levante UD,Levante  (17.),1:0,CF ,76',1:0
LaLiga,14,H,FC Barcelona,(4.),Valencia CF,Valencia  (14.),2:2,CF ,45'+4,1:1
LaLiga,15,A,FC Barcelona,(5.),Real Valladolid CF,Real Valladolid  (18.),0:3,AM ,65',0:3
LaLiga,2,A,FC Barcelona,(1.),Athletic Bilbao,Athletic  (18.),2:3,CF ,38',1:2
62',1:3,Left-footed shot,,,,,,,,
LaLiga,18,A,FC Barcelona,(3.),Granada CF,Granada CF  (7.),0:4,CF ,35',0:2
42',0:3,Direct free kick,,,,,,,,
Copa del Rey,Achtelfinale,A,FC Barcelona,Rayo Vallecano,Rayo Vallecano,1:2,CF ,69',1:1,Left-footed shot
LaLiga,21,H,FC Barcelona,(3.),Athletic Bilbao,Athletic  (11.),2:1,CF ,20',1:0
LaLiga,22,A,FC Barcelona,(3.),Real Betis Balompié,Real Betis  (7.),2:3,CF,59',1:1
LaLiga,23,H,FC Barcelona,(3.),Deportivo Alavés,Alavés  (16.),5:1,CF ,45'+1,2:0
75',4:1,Left-footed shot,,,,,,,,
UEFA Champions League,Achtelfinale,H,FC Barcelona,Paris Saint-Germain,Paris SG,1:4,CF ,27',1:0,Penalty
LaLiga,24,H,FC Barcelona,(3.),Cádiz CF,Cádiz CF  (15.),1:1,CF ,32',1:0
LaLiga,1,H,FC Barcelona,(3.),Elche CF,Elche CF  (17.),3:0,CF ,48',1:0
68',2:0,Left-footed shot,,,,,,,,
LaLiga,25,A,FC Barcelona,(4.),Sevilla FC,Sevilla FC  (3.),0:2,CF ,85',0:2
UEFA Champions League,Achtelfinale,A,FC Barcelona,Paris Saint-Germain,Paris SG,1:1,SS ,37',1:1,Long distance kick
LaLiga,27,H,FC Barcelona,(2.),SD Huesca,SD Huesca  (20.),4:1,SS ,13',1:0
90',4:1,Left-footed shot,,,,,,,,
LaLiga,28,A,FC Barcelona,(2.),Real Sociedad,Real Sociedad  (5.),1:6,SS ,56',0:4
89',1:6,Left-footed shot,,,,,,,,
Copa del Rey,Finale,A,FC Barcelona,Athletic Bilbao,Athletic,0:4,CF ,68',0:3,Left-footed shot
72',0:4,Left-footed shot,,,,,,,,
LaLiga,31,H,FC Barcelona,(3.),Getafe CF,Getafe  (15.),5:2,CF ,8',1:0
33',3:1,Left-footed shot,,,,,,,,
LaLiga,33,H,FC Barcelona,(1.),Granada CF,Granada CF  (8.),1:2,CF ,23',1:0
LaLiga,34,A,FC Barcelona,(3.),Valencia CF,Valencia  (14.),2:3,CF ,57',1:1
69',1:3,Direct free kick,,,,,,,,
LaLiga,36,A,FC Barcelona,(3.),Levante UD,Levante  (14.),3:3,SS ,25',0:1
LaLiga,37,H,FC Barcelona,(3.),Celta de Vigo,Celta de Vigo  (8.),1:2,SS ,28',1:0
Season 21/22,,,,,,,,,,
UEFA Champions League,Gruppenphase,H,Paris Saint-Germain,Manchester City,Man City,2:0,RW,74',2:0,Left-footed shot
UEFA Champions League,Gruppenphase,H,Paris Saint-Germain,RB Leipzig,RB Leipzig,3:2,RW,67',2:2,Left-footed shot
74',3:2,Penalty,,,,,,,,
Ligue 1,14,H,Paris Saint-Germain,(1.),FC Nantes,FC Nantes  (9.),3:1,RW,87',3:1
UEFA Champions League,Gruppenphase,H,Paris Saint-Germain,Club Brugge KV,Club Brugge,4:1,CF,38',3:0,Left-footed shot
76',4:1,Penalty,,,,,,,,
Ligue 1,23,A,Paris Saint-Germain,(1.),LOSC Lille,LOSC Lille  (11.),1:5,CF,38',1:3
Ligue 1,30,H,Paris Saint-Germain,(1.),FC Lorient,FC Lorient  (16.),5:1,RW,73',4:1
Ligue 1,34,H,Paris Saint-Germain,(1.),RC Lens,Lens  (7.),1:1,RW,68',1:0
Ligue 1,37,A,Paris Saint-Germain,(1.),Montpellier HSC,Montpellier  (13.),0:4,CF,6',0:1
20',0:2,Left-footed shot,,,,,,,,
Season 22/23,,,,,,,,,,
Trophée des Champions,Finale,H,Paris Saint-Germain,FC Nantes,FC Nantes,4:0,CF,22',1:0,Right-footed shot
Ligue 1,1,A,Paris Saint-Germain,(1.),Clermont Foot 63,Clermont Foot  (8.),0:5,CF,80',0:4
86',0:5,Left-footed shot,,,,,,,,
Ligue 1,3,A,Paris Saint-Germain,(1.),LOSC Lille,LOSC Lille  (3.),1:7,RW,27',0:2
UEFA Champions League,Gruppenphase,A,Paris Saint-Germain,Maccabi Haifa,Maccabi Haifa,1:3,RW,37',1:1,Left-footed shot
Ligue 1,8,A,Paris Saint-Germain,(1.),Olympique Lyon,Olympique Lyon  (5.),0:1,RW,5',0:1
Ligue 1,9,H,Paris Saint-Germain,(1.),OGC Nice,OGC Nice  (13.),2:1,AM,28',1:0
UEFA Champions League,Gruppenphase,A,Paris Saint-Germain,SL Benfica,Benfica,1:1,RW,22',0:1,Left-footed shot
Ligue 1,12,A,Paris Saint-Germain,(1.),AC Ajaccio,AC Ajaccio  (18.),0:3,CF,78',0:2
UEFA Champions League,Gruppenphase,H,Paris Saint-Germain,Maccabi Haifa,Maccabi Haifa,7:2,SS,19',1:0,Left-footed shot
45',4:1,Left-footed shot,,,,,,,,
Ligue 1,13,H,Paris Saint-Germain,(1.),ESTAC Troyes,Troyes  (11.),4:3,RW,55',2:2
Ligue 1,18,H,Paris Saint-Germain,(1.),Angers SCO,Angers SCO  (20.),2:0,AM,72',2:0
Ligue 1,21,A,Paris Saint-Germain,(1.),Montpellier HSC,Montpellier  (14.),1:3,SS,72',0:2
Ligue 1,22,H,Paris Saint-Germain,(1.),FC Toulouse,Toulouse  (12.),2:1,SS,58',2:1
Ligue 1,24,H,Paris Saint-Germain,(1.),LOSC Lille,LOSC Lille  (5.),4:3,CF,90'+5,4:3
Ligue 1,25,A,Paris Saint-Germain,(1.),Olympique Marseille,Marseille  (2.),0:3,CF,29',0:2
Ligue 1,26,H,Paris Saint-Germain,(1.),FC Nantes,FC Nantes  (13.),4:2,CF,12',1:0
Ligue 1,30,A,Paris Saint-Germain,(1.),OGC Nice,OGC Nice  (8.),0:2,CF,26',0:1
Ligue 1,31,H,Paris Saint-Germain,(1.),RC Lens,Lens  (2.),3:1,CF,40',3:0
Ligue 1,37,A,Paris Saint-Germain,(1.),RC Strasbourg Alsace,R. Strasbourg  (15.),1:1,CF,59',0:1
Leagues Cup,Gruppenphase,A,Inter Miami CF,CD Cruz Azul,CD Cruz Azul,1:2,RW,90'+4,1:2,Direct free kick
Leagues Cup,Gruppenphase,H,Inter Miami CF,Atlanta United FC,Atlanta,4:0,RW ,8',1:0,Right-footed shot
22',2:0,Right-footed shot,,,,,,,,
Leagues Cup,1.Runde,H,Inter Miami CF,Orlando City SC,Orlando,3:1,RW ,7',1:0,Left-footed shot
72',3:1,Right-footed shot,,,,,,,,
Leagues Cup,Achtelfinale,A,Inter Miami CF,FC Dallas,Dallas,7:9 on pens,RW ,6',0:1,Left-footed shot
85',4:4,Direct free kick,,,,,,,,
Leagues Cup,Viertelfinale,H,Inter Miami CF,Charlotte FC,Charlotte,4:0,RW ,86',4:0,Left-footed shot
Leagues Cup,Halbfinale,A,Inter Miami CF,Philadelphia Union,Philadelphia,1:4,RW ,20',0:2,Left-footed shot
Leagues Cup,Finale,A,Inter Miami CF,Nashville SC,Nashville,10:11 on pens,RW ,23',0:1,Left-footed shot
Major League Soccer,28,A,Inter Miami CF,(14.),New York Red Bulls,New York  (11.),0:2,CF,89',0:2
Season 2024,,,,,,,,,,
Major League Soccer,1,A,Inter Miami CF,Los Angeles Galaxy,LA Galaxy,1:1,RW ,90'+2,1:1,Left-footed shot
Major League Soccer,2,H,Inter Miami CF,Orlando City SC,Orlando,5:0,RW ,57',4:0,Chest
62',5:0,Header,,,,,,,,
CONCACAF Champions Cup,Achtelfinale,A,Inter Miami CF,Nashville SC,Nashville,2:2,CF ,52',2:1,Not reported
CONCACAF Champions Cup,Achtelfinale,H,Inter Miami CF,Nashville SC,Nashville,3:1,CF ,23',2:0,Left-footed shot
Major League Soccer,7,H,Inter Miami CF,Colorado Rapids,Colorado,2:2,CF,57',1:1,Left-footed shot
Major League Soccer,8,A,Inter Miami CF,Sporting Kansas City,Kansas City,2:3,RW ,51',1:2,Left-footed shot
Major League Soccer,9,H,Inter Miami CF,Nashville SC,Nashville,3:1,RW ,11',1:1,Left-footed shot
81',3:1,Penalty,,,,,,,,
Major League Soccer,10,A,Inter Miami CF,New England Revolution,New England,1:4,RW ,32',1:1,Left-footed shot
67',1:2,Left-footed shot,,,,,,,,
Major League Soccer,11,H,Inter Miami CF,New York Red Bulls,New York,6:2,RW ,50',2:1,Left-footed shot
Major League Soccer,16,H,Inter Miami CF,Atlanta United FC,Atlanta,1:3,RW ,62',1:2,Left-footed shot
Major League Soccer,17,H,Inter Miami CF,St. Louis CITY SC,St. Louis CITY,3:3,RW ,25',1:1,Left-footed shot
Major League Soccer,31,H,Inter Miami CF,Philadelphia Union,Philadelphia,3:1,RW ,26',1:1,Right-footed shot
30',2:1,Left-footed shot,,,,,,,,
Major League Soccer,34,H,Inter Miami CF,Charlotte FC,Charlotte,1:1,RW ,67',1:1,Left-footed shot
Major League Soccer,35,A,Inter Miami CF,Columbus Crew,Columbus,2:3,RW ,45',0:1,Left-footed shot
45'+5,0:2,Direct free kick,,,,,,,,
Major League Soccer,37,H,Inter Miami CF,New England Revolution,New England,6:2,RW,78',4:2,Left-footed shot
81',5:2,Left-footed shot,,,,,,,,
89',6:2,Left-footed shot,,,,,,,,
MLS Cup Playoffs,1.Runde,H,Inter Miami CF,Atlanta United FC,Atlanta,2:3,RW ,65',2:2,Header
