Competition,Matchday,Venue,Team,Opponent,Opponent_Position,Result,Position,Minute,At_Score,Type_of_Goal
LaLiga,21,H,FC Barcelona,(1.),Getafe CF,Getafe  (7.),2:1,RW,7',1:0
LaLiga,24,H,FC Barcelona,(1.),Málaga CF,Málaga CF  (12.),2:1,AM,84',2:1
LaLiga,25,A,FC Barcelona,(1.),UD Almería,UD Almería  (13.),2:2,RW,42',1:1
66',2:2,Left-footed shot,,,,,,,,
LaLiga,26,H,FC Barcelona,(1.),Valencia CF,Valencia  (3.),3:0,CF,56',1:0
80',2:0,Left-footed shot,,,,,,,,
82',3:0,Right-footed shot,,,,,,,,
UEFA Champions League,Achtelfinale,H,FC Barcelona,VfB Stuttgart,VfB Stuttgart,4:0,CF,13',1:0,Left-footed shot
56',3:0,Left-footed shot,,,,,,,,
LaLiga,27,A,FC Barcelona,(1.),Real Zaragoza,Real Zaragoza  (17.),2:4,RW,4',0:1
65',0:2,Left-footed shot,,,,,,,,
78',0:3,Left-footed shot,,,,,,,,
LaLiga,30,H,FC Barcelona,(1.),Athletic Bilbao,Athletic  (6.),4:1,CF,67',4:0
UEFA Champions League,Viertelfinale,H,FC Barcelona,Arsenal FC,Arsenal,4:1,CF,21',1:1,Left-footed shot
37',2:1,Right-footed shot,,,,,,,,
42',3:1,Left-footed shot,,,,,,,,
88',4:1,Solo run,,,,,,,,
LaLiga,31,A,FC Barcelona,(1.),Real Madrid,Real Madrid  (2.),0:2,CF,32',0:1
LaLiga,35,A,FC Barcelona,(1.),Villarreal CF,Villarreal  (6.),1:4,CF,18',0:1
87',1:4,Left-footed shot,,,,,,,,
LaLiga,36,H,FC Barcelona,(1.),CD Tenerife,CD Tenerife  (18.),4:1,RW,16',1:0
90'+3,4:1,Right-footed shot,,,,,,,,
LaLiga,37,A,FC Barcelona,(1.),Sevilla FC,Sevilla FC  (4.),2:3,CF,5',0:1
LaLiga,38,H,FC Barcelona,(1.),Real Valladolid CF,Real Valladolid  (16.),4:0,CF,61',3:0
74',4:0,Left-footed shot,,,,,,,,
Season 10/11,,,,,,,,,,
Supercopa,Finale,H,FC Barcelona,Sevilla FC,Sevilla FC,4:0,RW,25',2:0,Left-footed shot
43',3:0,Right-footed shot,,,,,,,,
90'+1,4:0,Left-footed shot,,,,,,,,
LaLiga,1,A,FC Barcelona,(1.),Racing Santander,Racing  (12.),0:3,RW,3',0:1
UEFA Champions League,Gruppenphase,H,FC Barcelona,Panathinaikos FC,Panathinaikos,5:1,CF,22',1:1,Left-footed shot
45',3:1,Left-footed shot,,,,,,,,
LaLiga,3,A,FC Barcelona,(11.),Atlético de Madrid,Atlético Madrid  (1.),1:2,CF,12',0:1
LaLiga,6,H,FC Barcelona,(3.),RCD Mallorca,RCD Mallorca  (11.),1:1,CF,20',1:0
UEFA Champions League,Gruppenphase,H,FC Barcelona,FC Copenhagen,FC Copenhagen,2:0,CF,18',1:0,Left-footed shot
90'+1,2:0,Left-footed shot,,,,,,,,
LaLiga,8,A,FC Barcelona,(2.),Real Zaragoza,Real Zaragoza  (20.),0:2,CF,41',0:1
65',0:2,Left-footed shot,,,,,,,,
LaLiga,9,H,FC Barcelona,(3.),Sevilla FC,Sevilla FC  (6.),5:0,RW,4',1:0
63',4:0,Left-footed shot,,,,,,,,
UEFA Champions League,Gruppenphase,A,FC Barcelona,FC Copenhagen,FC Copenhagen,1:1,RW,31',0:1,Right-footed shot
LaLiga,10,A,FC Barcelona,(2.),Getafe CF,Getafe  (10.),1:3,CF,23',0:1
Copa del Rey,4.Runde,H,FC Barcelona,Club Atlético de Ceuta,Atlético Ceuta,5:1,RW,67',5:1,Left-footed shot
LaLiga,11,H,FC Barcelona,(2.),Villarreal CF,Villarreal  (3.),3:1,CF,58',2:1
83',3:1,Left-footed shot,,,,,,,,
LaLiga,12,A,FC Barcelona,(2.),UD Almería,UD Almería  (18.),0:8,CF,16',0:1
36',0:5,Tap-in,,,,,,,,
67',0:7,Tap-in,,,,,,,,
UEFA Champions League,Gruppenphase,A,FC Barcelona,Panathinaikos FC,Panathinaikos,0:3,CF,63',0:2,Left-footed shot
LaLiga,14,A,FC Barcelona,(1.),CA Osasuna,CA Osasuna  (12.),0:3,CF,64',0:2
82',0:3,Penalty,,,,,,,,
LaLiga,15,H,FC Barcelona,(1.),Real Sociedad,Real Sociedad  (6.),5:0,CF,46',3:0
